ICAO Aircraft Code,PS ATYP
A178,E190
A19N,A20N
A20N,A20N
A21N,A21N
A306,A306
A30B,A30B
A310,A310
A313,A313
A318,A318
A319,A319
A320,A320
A321,A321
A332,A332
A333,A333
A338,A338
A339,A339
A342,A342
A343,A343
A345,A345
A346,A346
A359,A359
A35K,A35K
A388,A388
B37M,B37M
B38M,B38M
B39M,B39M
B3XM,B3XM
B701,B752
B712,B712
B720,B752
B721,B752
B722,B722
B732,B732
B733,B733
B734,B734
B735,B735
B736,B736
B737,B737
B738,B738
B739,B739
B741,B743
B742,B742
B743,B743
B744,B744
B748,B748
B74D,B743
B74R,B743
B74S,B742
B752,B752
B753,B753
B762,B762
B763,B763
B764,B764
B772,B772
B773,B773
B77L,B77L
B77W,B77W
B788,B788
B789,B789
B78X,B78X
BCS1,BCS1
BCS3,BCS3
BLCF,B77W
C141,A310
C17,B764
C5,A345
C5M,A345
C919,A20N
CRJ7,CRJ9
CRJ9,CRJ9
DC91,B712
DC93,DC93
E135,E135
E145,E145
E170,E170
E190,E190
E195,E195
E290,E290
E295,E295
E3CF,B762
E3TF,B762
E737,B738
E75L,E75L
E75S,E75S
E767,B763
GLF5,GLF5
IL62,A30B
J328,E135
KC39,A321
MC23,A20N
MD81,MD82
MD82,MD82
MD83,MD83
MD87,MD82
MD88,MD82
MD90,MD83
NIM,B738
P1,B38M
P8,B738
R721,B722
R722,B722
RJ1H,RJ1H
SLCH,A388
