Date,Global,Africa,Asia Pacific,Europe,Latin America,Middle East,North America
15/12/2018,0.804,0.724,0.81,0.81,0.818,0.736,0.825
15/1/2019,0.796,0.709,0.81,0.796,0.825,0.76,0.795
15/2/2019,0.806,0.704,0.826,0.815,0.813,0.726,0.808
15/3/2019,0.817,0.72,0.812,0.837,0.815,0.739,0.85
15/4/2019,0.828,0.733,0.817,0.851,0.822,0.803,0.839
15/5/2019,0.815,0.676,0.802,0.837,0.832,0.732,0.851
15/6/2019,0.844,0.706,0.821,0.875,0.832,0.767,0.887
15/7/2019,0.857,0.735,0.831,0.89,0.853,0.812,0.888
15/8/2019,0.857,0.755,0.839,0.889,0.833,0.821,0.875
15/9/2019,0.819,0.721,0.801,0.866,0.819,0.75,0.828
15/10/2019,0.82,0.697,0.815,0.855,0.819,0.734,0.841
15/11/2019,0.818,0.708,0.813,0.833,0.822,0.732,0.828
15/12/2019,0.823,0.724,0.816,0.828,0.825,0.78,0.859
15/1/2020,0.803,0.702,0.799,0.816,0.826,0.785,0.812
15/2/2020,0.759,0.668,0.678,0.813,0.812,0.725,0.811
15/3/2020,0.606,0.609,0.589,0.67,0.681,0.599,0.557
15/4/2020,0.366,0.111,0.538,0.32,0.55,0.284,0.15
15/5/2020,0.507,0.071,0.62,0.427,0.623,0.255,0.381
15/6/2020,0.576,0.162,0.638,0.555,0.666,0.357,0.524
15/7/2020,0.579,0.296,0.657,0.609,0.631,0.396,0.476
15/8/2020,0.585,0.39,0.65,0.635,0.639,0.372,0.477
15/9/2020,0.601,0.378,0.692,0.586,0.706,0.365,0.525
15/10/2020,0.602,0.482,0.687,0.552,0.721,0.387,0.558
15/11/2020,0.58,0.474,0.664,0.523,0.74,0.372,0.518
15/12/2020,0.575,0.549,0.616,0.578,0.73,0.44,0.516
15/1/2021,0.541,0.544,0.566,0.576,0.685,0.422,0.484
15/2/2021,0.554,0.516,0.591,0.563,0.683,0.398,0.527
15/3/2021,0.623,0.53,0.669,0.593,0.708,0.422,0.624
15/4/2021,0.633,0.476,0.678,0.563,0.723,0.404,0.668
15/5/2021,0.658,0.53,0.678,0.593,0.768,0.389,0.728
15/6/2021,0.696,0.587,0.657,0.658,0.784,0.459,0.806
15/7/2021,0.731,0.614,0.675,0.725,0.793,0.513,0.841
15/8/2021,0.7,0.64,0.545,0.746,0.774,0.56,0.786
15/9/2021,0.676,0.56,0.605,0.719,0.773,0.524,0.727
15/10/2021,0.706,0.558,0.629,0.741,0.809,0.577,0.769
15/11/2021,0.713,0.616,0.597,0.752,0.822,0.616,0.786
15/12/2021,0.723,0.647,0.625,0.745,0.816,0.663,0.793
15/1/2022,0.645,0.623,0.576,0.682,0.782,0.591,0.663
15/2/2022,0.698,0.648,0.629,0.721,0.795,0.648,0.745
15/3/2022,0.747,0.657,0.642,0.739,0.808,0.718,0.839
15/4/2022,0.778,0.68,0.67,0.795,0.809,0.713,0.858
15/5/2022,0.794,0.696,0.696,0.807,0.807,0.762,0.86
15/6/2022,0.824,0.743,0.729,0.86,0.817,0.772,0.891
15/7/2022,0.835,0.753,0.764,0.87,0.831,0.812,0.882
15/8/2022,0.818,0.757,0.74,0.862,0.824,0.796,0.856
15/9/2022,0.816,0.743,0.747,0.847,0.823,0.795,0.855
15/10/2022,0.82,0.726,0.755,0.848,0.833,0.791,0.864
15/11/2022,0.808,0.748,0.77,0.838,0.82,0.775,0.832
15/12/2022,0.811,0.769,0.772,0.836,0.785,0.8,0.842
15/1/2023,0.777,0.742,0.774,0.762,0.813,0.791,0.784
15/2/2023,0.778,0.756,0.792,0.752,0.811,0.798,0.771
15/3/2023,0.807,0.739,0.792,0.805,0.812,0.794,0.837
15/4/2023,0.813,0.708,0.784,0.838,0.814,0.76,0.856
15/5/2023,0.818,0.699,0.773,0.848,0.811,0.799,0.863
15/6/2023,0.842,0.689,0.804,0.877,0.825,0.794,0.887
15/7/2023,0.852,0.746,0.816,0.877,0.867,0.821,0.897
15/8/2023,0.846,0.764,0.822,0.876,0.851,0.83,0.858
15/9/2023,0.826,0.731,0.8,0.86,0.839,0.816,0.83
15/10/2023,0.831,0.707,0.821,0.856,0.848,0.806,0.836
15/11/2023,0.818,0.704,0.814,0.837,0.844,0.777,0.827
15/12/2023,0.821,0.732,0.812,0.851,0.827,0.782,0.829
15/1/2024,0.799,0.731,0.808,0.782,0.85,0.799,0.799
15/2/2024,0.806,0.744,0.844,0.761,0.827,0.808,0.795
15/3/2024,0.82,0.721,0.835,0.809,0.831,0.775,0.837
15/4/2024,0.824,0.734,0.824,0.838,0.822,0.792,0.83
15/5/2024,0.834,0.729,0.818,0.852,0.834,0.808,0.858
15/6/2024,0.85,0.771,0.829,0.877,0.842,0.795,0.876
15/7/2024,0.86,0.75,0.834,0.882,0.862,0.84,0.889
15/8/2024,0.862,0.779,0.86,0.879,0.84,0.823,0.871
15/9/2024,0.836,0.765,0.831,0.865,0.834,0.814,0.824
15/10/2024,0.839,0.738,0.841,0.862,0.845,0.803,0.832
15/11/2024,0.834,0.733,0.849,0.853,0.845,0.812,0.81
15/12/2024,0.84,0.76,0.833,0.865,0.83,0.805,0.85
